EPOCH(087%) LOSS: MLM=1.2551, CLS=0.0339 ELAPSED TIME: 34.1s
EPOCH(088%) LOSS: MLM=1.2378, CLS=0.0241 ELAPSED TIME: 33.5s
EPOCH(088%) LOSS: MLM=1.2492, CLS=0.0319 ELAPSED TIME: 33.8s
EPOCH(089%) LOSS: MLM=1.2471, CLS=0.0297 ELAPSED TIME: 34.0s
EPOCH(090%) LOSS: MLM=1.2620, CLS=0.0357 ELAPSED TIME: 33.9s
EPOCH(090%) LOSS: MLM=1.2264, CLS=0.0246 ELAPSED TIME: 33.9s
EPOCH(091%) LOSS: MLM=1.2219, CLS=0.0331 ELAPSED TIME: 34.4s
EPOCH(092%) LOSS: MLM=1.2127, CLS=0.0250 ELAPSED TIME: 34.0s
EPOCH(092%) LOSS: MLM=1.2287, CLS=0.0175 ELAPSED TIME: 34.0s
EPOCH(093%) LOSS: MLM=1.2068, CLS=0.0318 ELAPSED TIME: 34.3s
EPOCH(094%) LOSS: MLM=1.2045, CLS=0.0294 ELAPSED TIME: 33.9s
EPOCH(094%) LOSS: MLM=1.2098, CLS=0.0257 ELAPSED TIME: 34.0s
EPOCH(095%) LOSS: MLM=1.1703, CLS=0.0297 ELAPSED TIME: 33.8s
EPOCH(096%) LOSS: MLM=1.1993, CLS=0.0188 ELAPSED TIME: 34.1s
EPOCH(096%) LOSS: MLM=1.1974, CLS=0.0358 ELAPSED TIME: 33.9s
EPOCH(097%) LOSS: MLM=1.1826, CLS=0.0340 ELAPSED TIME: 34.1s
EPOCH(098%) LOSS: MLM=1.2051, CLS=0.0254 ELAPSED TIME: 34.3s
EPOCH(098%) LOSS: MLM=1.2087, CLS=0.0382 ELAPSED TIME: 34.2s
EPOCH(099%) LOSS: MLM=1.2011, CLS=0.0205 ELAPSED TIME: 34.2s
EPOCH(100%) LOSS: MLM=1.1960, CLS=0.0259 ELAPSED TIME: 33.9s
